Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.17     0.00    30000     0.00     0.00  std::_List_node<std::__cxx11::list<int, std::allocator<int> > >::_M_valptr() const
  0.00      0.17     0.00    30000     0.00     0.00  std::_List_node<int>::_M_valptr() const
  0.00      0.17     0.00    30000     0.00     0.00  std::_List_const_iterator<std::__cxx11::list<int, std::allocator<int> > >::operator*() const
  0.00      0.17     0.00    30000     0.00     0.00  std::_List_const_iterator<int>::operator*() const
  0.00      0.17     0.00    30000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::end() const
  0.00      0.17     0.00    30000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::begin() const
  0.00      0.17     0.00    30000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.17     0.00    30000     0.00     0.00  std::_List_const_iterator<int>::operator++()
  0.00      0.17     0.00    20079     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.17     0.00    20078     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.17     0.00    20002     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::base() const
  0.00      0.17     0.00    20002     0.00     0.00  std::__detail::_List_node_header::_M_init()
  0.00      0.17     0.00    20002     0.00     0.00  std::__detail::_List_node_header::_List_node_header()
  0.00      0.17     0.00    20001     0.00     0.00  std::__cxx11::list<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::begin() const
  0.00      0.17     0.00    20001     0.00     0.00  std::_List_const_iterator<std::__cxx11::list<int, std::allocator<int> > >::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      0.17     0.00    20001     0.00     0.00  std::__cxx11::list<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::begin()
  0.00      0.17     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >::deallocate(std::_List_node<std::__cxx11::list<int, std::allocator<int> > >*, unsigned long)
  0.00      0.17     0.00    20000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >::destroy<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >*)
  0.00      0.17     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >::allocate(unsigned long, void const*)
  0.00      0.17     0.00    20000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >::construct<std::__cxx11::list<int, std::allocator<int> >>(std::__cxx11::list<int, std::allocator<int> >*)
  0.00      0.17     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long)
  0.00      0.17     0.00    20000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::destroy<int>(int*)
  0.00      0.17     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned long, void const*)
  0.00      0.17     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator()
  0.00      0.17     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::~new_allocator()
  0.00      0.17     0.00    20000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.17     0.00    20000     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.17     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >::max_size() const
  0.00      0.17     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::max_size() const
  0.00      0.17     0.00    20000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.17     0.00    20000     0.00     0.00  std::_List_iterator<std::__cxx11::list<int, std::allocator<int> > >::operator->() const
  0.00      0.17     0.00    20000     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.17     0.00    20000     0.00     0.00  std::allocator<std::_List_node<int> >::allocator()
  0.00      0.17     0.00    20000     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00      0.17     0.00    20000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.17     0.00    20000     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      0.17     0.00    20000     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.17     0.00    20000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > > >::__allocated_ptr(std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >&, std::_List_node<std::__cxx11::list<int, std::allocator<int> > >*)
  0.00      0.17     0.00    20000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > > >::~__allocated_ptr()
  0.00      0.17     0.00    20000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > > >::operator=(decltype(nullptr))
  0.00      0.17     0.00    20000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::__allocated_ptr(std::allocator<std::_List_node<int> >&, std::_List_node<int>*)
  0.00      0.17     0.00    20000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::~__allocated_ptr()
  0.00      0.17     0.00    20000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::operator=(decltype(nullptr))
  0.00      0.17     0.00    20000     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > > >::deallocate(std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >&, std::_List_node<std::__cxx11::list<int, std::allocator<int> > >*, unsigned long)
  0.00      0.17     0.00    20000     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > > >::destroy<std::__cxx11::list<int, std::allocator<int> > >(std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >&, std::__cxx11::list<int, std::allocator<int> >*)
  0.00      0.17     0.00    20000     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > > >::allocate(std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >&, unsigned long)
  0.00      0.17     0.00    20000     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > > >::construct<std::__cxx11::list<int, std::allocator<int> >>(std::allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >&, std::__cxx11::list<int, std::allocator<int> >*)
